date,number,place,yellowdust(O/X),avgdust,avgwindsp(m/s),maxwinsp(m/s),maxwinspdir(deg),maxdir(deg),minview(10m),atmosdiff:+03h,:+06h,:+09h,:+12h,:+15h,:+18h,:+21h,:+24h
2019-02-05,93,BukChucheon,X,70,0.7,2.5,20,50,1200,high,high,high,high,high,high,high,high
2019-02-05,102,BackRyeongdo,X,102,3.9,7.6,200,200,1230,high,high,high,high,high,high,normal,normal
2019-02-05,104,Bukkangreung,X,,2.2,5.3,160,180,1641,high,high,high,high,high,high,high,normal
2019-02-05,108,Seoul,X,71,1,2.9,200,50,939,high,high,high,high,normal,normal,normal,high
2019-02-05,112,Incheon,X,,2.9,5.1,180,200,795,high,high,high,high,normal,normal,low,normal
2019-02-05,115,Ulreungdo,O,89,3.7,6.8,200,200,1049,high,high,high,high,high,normal,normal,normal
2019-02-05,119,Suwon,X,78,0.9,3.2,140,160,1034,high,high,high,high,low,normal,normal,high
2019-02-05,131,Chungju,X,,0.8,3.1,180,340,769,low,high,high,normal,normal,normal,normal,high
2019-02-05,133,Daejeon,X,,0.8,1.6,110,320,845,normal,normal,normal,normal,normal,normal,normal,high
2019-02-05,136,Ahndong,X,84,0.6,2.7,340,160,864,normal,high,normal,normal,normal,normal,normal,normal
2019-02-05,138,Pohang,X,,2.2,3.9,250,250,1264,normal,normal,high,low,low,normal,normal,normal
2019-02-05,143,Daegu,X,84,0.7,2.1,290,110,900,low,low,normal,normal,normal,normal,normal,normal
2019-02-05,146,Jeonju,X,72,1.3,2.5,340,140,1113,normal,normal,normal,normal,normal,normal,normal,high
2019-02-05,152,Ulsan,X,52,1.9,3.7,160,160,1561,normal,normal,high,low,normal,normal,normal,normal
2019-02-05,155,Changwon,X,,1.4,3.5,160,360,1457,normal,normal,normal,normal,normal,normal,normal,normal
2019-02-05,156,Kwangju,X,61,0.8,2.4,180,250,1264,normal,normal,high,normal,normal,normal,normal,high
2019-02-05,159,Busan,X,,2.1,6.7,340,110,1172,high,normal,normal,high,normal,normal,normal,normal
2019-02-05,165,Mokpo,X,,1.9,4.4,230,160,1358,normal,normal,low,low,low,low,low,normal
2019-02-05,168,Yeosu,X,,2.7,6.5,70,70,1569,low,normal,normal,normal,normal,normal,normal,normal
2019-02-05,169,Heuksando,X,91,3.4,6,180,160,1350,normal,normal,normal,low,low,low,low,normal
2019-02-05,177,Hongseong,X,,0.8,3.3,230,180,892,low,high,normal,low,low,low,normal,high
2019-02-05,184,Jeju,X,,2.7,7.1,50,50,1436,normal,normal,normal,normal,normal,normal,normal,normal
2019-02-05,189,Seoguipo,X,,1.6,2.8,50,20,1541,normal,normal,normal,normal,normal,normal,low,low
2019-04-05,93,BukChucheon,X,53,2.7,6.8,250,180,500,high,veryhigh,veryhigh,high,normal,high,high,high
2019-04-05,102,BackRyeongdo,O,92,5.2,11.1,230,340,619,high,high,high,high,high,high,low,normal
2019-04-05,104,Bukkangreung,X,,3.1,12.3,250,200,1197,high,high,high,high,high,normal,high,normal
2019-04-05,108,Seoul,X,53,2.9,5.4,230,230,320,high,high,high,high,high,high,high,normal
2019-04-05,112,Incheon,O,,4.2,6.9,270,270,259,high,high,high,high,high,high,normal,high
2019-04-05,115,Ulreungdo,X,60,7.6,12.1,230,230,850,high,high,high,high,high,high,high,high
2019-04-05,119,Suwon,X,53,2.6,6.8,270,270,352,high,high,high,high,high,high,normal,low
2019-04-05,131,Chungju,O,,2,4.2,340,230,509,high,high,high,high,high,normal,high,high
2019-04-05,133,Daejeon,O,,2.5,5.3,180,200,380,high,high,high,high,high,high,high,normal
2019-04-05,136,Ahndong,X,53,2.6,8.2,290,290,469,high,high,veryhigh,high,high,high,high,high
2019-04-05,138,Pohang,X,,3.8,6.1,250,230,723,high,high,high,high,high,high,high,high
2019-04-05,143,Daegu,X,57,3,7.3,290,270,528,high,high,veryhigh,veryhigh,high,high,high,high
2019-04-05,146,Jeonju,X,58,2.4,5.1,250,140,517,high,high,high,high,high,high,high,normal
2019-04-05,152,Ulsan,X,45,2.5,5.5,290,250,887,high,high,veryhigh,veryhigh,high,high,high,high
2019-04-05,155,Changwon,X,,1.9,5,140,140,843,high,high,high,high,high,normal,high,normal
2019-04-05,156,Kwangju,X,59,1.8,3.7,200,200,426,high,high,high,high,high,normal,normal,normal
2019-04-05,159,Busan,X,,5.8,10,270,270,558,high,high,high,high,high,high,high,low
2019-04-05,165,Mokpo,X,,3.4,5.9,320,360,369,high,high,high,high,high,high,high,normal
2019-04-05,168,Yeosu,X,,4.8,8.8,290,290,599,high,high,high,high,high,high,normal,normal
2019-04-05,169,Heuksando,O,77,3.9,7.2,200,340,358,high,high,high,normal,high,high,high,normal
2019-04-05,177,Hongseong,O,,2.9,5.6,230,200,484,high,high,high,high,high,normal,high,normal
2019-04-05,184,Jeju,X,,4,6.3,250,270,228,high,high,high,high,normal,high,normal,normal
2019-04-05,189,Seoguipo,X,,1.7,4.8,230,270,284,normal,normal,normal,normal,high,high,high,normal
