date,num,dust,avgdust,avgwind,maxwind,maxwinddir,maxdir,minview
2020-04-04,93,X,56,2.3,6.5,340,320,600
2020-04-04,102,O,62,9.4,13.7,340,340,652
2020-04-04,104,X,0,2.8,8.4,250,200,993
2020-04-04,108,X,69,3.4,6.3,290,290,241
2020-04-04,112,O,0,5.8,9.9,340,360,231
2020-04-04,115,X,23,6.1,12.6,50,70,1022
2020-04-04,119,X,53,3.5,7.7,270,320,462
2020-04-04,131,O,0,2.2,5.5,290,270,583
2020-04-04,133,O,0,2.9,6.7,270,140,670
2020-04-04,136,X,54,2.5,5.8,290,290,861
2020-04-04,138,X,0,4.2,7.6,50,50,1457
2020-04-04,143,X,41,2.9,8.2,110,110,1318
2020-04-04,146,X,45,2.5,5.8,270,270,1000
2020-04-04,152,X,27,2.7,6.4,70,360,1800
2020-04-04,155,X,0,1.8,6.1,180,180,1583
2020-04-04,156,O,51,1.8,4.1,20,250,1020
2020-04-04,159,X,0,4,9.1,230,50,1367
2020-04-04,165,X,0,5.7,12,340,360,703
2020-04-04,168,X,0,7.1,12.4,320,320,1071
2020-04-04,169,O,41,9,15.9,360,360,797
2020-04-04,177,O,0,3.4,5.7,320,320,363
2020-04-04,184,X,0,3.6,7,270,270,909
2020-04-04,189,X,0,1.5,2.9,290,360,1236
2020-04-22,93,O,85,4,7.1,230,250,1400
2020-04-22,102,O,112,7.5,10.3,320,320,1578
2020-04-22,104,O,0,3.8,7.9,270,270,900
2020-04-22,108,O,64,4,6.4,290,290,1013
2020-04-22,112,O,0,6.3,9.2,340,320,1064
2020-04-22,115,X,56,3.6,7.6,250,250,1938
2020-04-22,119,O,0,5.1,8,290,270,1592
2020-04-22,131,O,0,3,5.6,290,290,1738
2020-04-22,133,X,0,3.3,6.1,250,250,2097
2020-04-22,136,O,61,4.6,8.5,290,290,1831
2020-04-22,138,X,0,4.3,7.5,250,270,1985
2020-04-22,143,X,52,5.3,9.1,290,290,1919
2020-04-22,146,X,39,3.9,6.9,270,290,2000
2020-04-22,152,X,16,3.2,5.2,290,320,2000
2020-04-22,155,X,0,2.2,5.9,290,290,2000
2020-04-22,156,X,55,2.4,5.5,270,270,1952
2020-04-22,159,X,0,5.3,11.1,270,270,1471
2020-04-22,165,X,0,7.1,9.9,340,340,1987
2020-04-22,168,X,0,7.4,14.8,270,270,2000
2020-04-22,169,X,42,6.3,10.4,340,320,3157
2020-04-22,177,X,0,3.7,6.9,270,270,2847
2020-04-22,184,X,0,5.7,9.3,320,290,2000
2020-04-22,189,X,0,2.6,5.2,270,270,2000
2020-05-11,93,O,79,3,7.2,250,230,500
2020-05-11,102,O,83,4.3,9.3,270,290,1211
2020-05-11,104,X,0,4.1,8,270,250,1578
2020-05-11,108,O,98,3,5.6,290,250,276
2020-05-11,112,O,0,2.9,5,200,230,117
2020-05-11,115,X,50,5.6,9.7,270,230,2000
2020-05-11,119,O,0,2.1,5.7,270,270,419
2020-05-11,131,X,0,1.9,4.1,270,270,245
2020-05-11,133,X,0,2.2,4.6,110,140,302
2020-05-11,136,X,53,2.4,5.9,290,290,404
2020-05-11,138,X,0,3.4,6.6,250,250,1626
2020-05-11,143,X,35,2.5,6.2,290,290,656
2020-05-11,146,X,48,1.4,3.4,250,270,309
2020-05-11,152,X,32,2.4,5.8,320,320,1662
2020-05-11,155,X,0,1.4,3.7,230,200,1515
2020-05-11,156,X,49,1.4,3.9,230,230,248
2020-05-11,159,X,0,3.8,7.1,290,200,853
2020-05-11,165,X,0,2.4,5,250,250,205
2020-05-11,168,X,0,4.4,7.8,320,230,1017
2020-05-11,169,X,33,3,7.4,180,180,10
2020-05-11,177,X,0,2.2,5.6,250,230,232
2020-05-11,184,X,0,2.7,4.7,270,270,323
2020-05-11,189,X,0,1.3,2.9,230,250,223
2020-06-04,93,X,55,2.5,5.9,200,200,800
2020-06-04,102,X,22,2.7,5.7,160,320,27
2020-06-04,104,X,0,2.8,6,250,230,1604
2020-06-04,108,X,71,2.7,4.7,270,250,175
2020-06-04,112,X,0,2.5,4.1,290,250,9
2020-06-04,115,X,54,3.9,8.1,250,200,1508
2020-06-04,119,X,49,2.2,4.4,250,250,542
2020-06-04,131,O,0,2.1,4,270,250,604
2020-06-04,133,X,0,2.2,5.1,180,180,660
2020-06-04,136,O,85,1.9,4.5,290,290,655
2020-06-04,138,X,0,2.8,4.8,250,200,1675
2020-06-04,143,X,42,2.1,4.3,270,270,1017
2020-06-04,146,X,36,1.6,3.9,290,230,724
2020-06-04,152,X,37,1.5,3.7,270,140,1212
2020-06-04,155,X,0,1.5,4,110,110,444
2020-06-04,156,X,37,2.1,4,230,200,568
2020-06-04,159,X,0,4.3,6.9,230,180,473
2020-06-04,165,X,0,2.4,4.4,140,250,525
2020-06-04,168,X,0,4.4,6.2,200,200,12
2020-06-04,169,X,0,4.5,7.7,180,180,6
2020-06-04,177,X,0,2.6,4.6,250,230,361
2020-06-04,184,X,0,1.4,3.8,20,20,150
2020-06-04,189,X,0,0.9,2.2,200,230,1915
